"SAID","sample_address","zipcode","soil_remediation_status","soil_remediation_date","soil_sample_date","high_lead_result"
60229,"5704 GRAND AV",68104,NA,NA,NA,NA
75507,"721 S 69 ST",68106,NA,NA,NA,NA
78288,"6458 WILLIAM ST",68106,NA,NA,NA,NA
82689,"5507 ORCHARD AV",68117,NA,NA,NA,NA
10894,"4422 S 16 ST",68107,"Remediated",2012-08-14,2003-08-19,425.89
72807,"2229 S 59 ST",68106,NA,NA,NA,NA
19953,"1423 S 14 ST",68108,"Remediated",2005-06-22,2004-09-12,921.61
49868,"4705 CUMING ST",68132,"Ineligible",NA,2005-08-09,315.42
37409,"5603 N 39 ST",68111,"Ineligible",NA,2003-12-22,100.58
41290,"7156 N 36 AVENUE CR",68112,NA,NA,NA,NA
25880,"1517 N 40 ST",68111,"Remediated",2006-05-08,2004-10-04,2750
51297,"305 S 50 AV",68132,"Remediated",2017-11-12,2016-01-06,1178
41391,"7219 N 42 ST",68112,NA,NA,NA,NA
88242,NA,NA,NA,NA,NA,NA
45211,"6237 CAMPBELL AV",68107,"Ineligible",NA,2006-11-27,69.51
92499,"1806 N 17 ST",68110,"Ineligible",NA,2007-10-23,115
847,"2862 BROWNE ST",68111,"Remediated",2000-12-31,2000-02-17,1069.6
77690,"7815 FAIRWAY DR",68152,NA,NA,NA,NA
46109,"3916 Y ST",68107,"Ineligible",NA,2004-12-06,182.32
19660,"1457 S 11 ST",68108,"Ineligible",NA,2005-10-14,385.87
34559,"4619 FONTENELLE BD",68111,"Ineligible",NA,2006-09-07,178.7
18968,"412 CEDAR ST",68108,"Remediated",2013-07-20,2006-08-03,477.57
12553,"902 HOMER ST",68107,"Remediated",2006-10-12,2005-07-21,862.47
58079,"4960 BANCROFT ST",68106,NA,NA,NA,NA
25107,"4120 LAFAYETTE AV",68131,"Remediated",2011-09-10,2003-06-26,750.27
66563,"656 J E GEORGE BD",68132,NA,NA,NA,NA
88969,NA,NA,NA,NA,NA,NA
10872,"4329 S 37 ST",68107,"Remediated",2013-08-07,2012-05-24,453
46915,"3423 U ST",68107,"Remediated",2007-06-07,2004-01-13,916.8
73503,"4515 S 61 AV",68117,NA,NA,NA,NA
24170,"3420 CALIFORNIA ST",68131,"Remediated",2004-07-07,2003-06-20,1950.5
41746,"2871 MARTIN AV",68112,NA,NA,NA,NA
48523,"5005 S 20 ST",68107,"Remediated",2011-10-19,2006-08-03,494.47
59554,"3608 N 69 ST",68104,NA,NA,NA,NA
82195,"3412 S 50 ST",68106,NA,NA,NA,NA
58969,"6328 EVANS ST",68104,NA,NA,NA,NA
62151,"1411 S 52 ST",68106,NA,NA,NA,NA
77482,"6251 NEBRASKA AV",68104,NA,NA,NA,NA
85740,"6707 GROVER ST",68106,NA,NA,NA,NA
69121,"5017 N 60 ST",68104,NA,NA,NA,NA
56660,"1116 S 6 ST",68108,NA,NA,NA,NA
71314,"6527 S 50 CR",68117,NA,NA,NA,NA
69103,"2224 N 51 ST",68104,NA,NA,NA,NA
18169,"3603 FRANCES ST",68105,"Ineligible",NA,2004-09-03,57.07
45330,"6218 S 32 ST",68107,"Remediated",2013-08-26,2004-11-30,2956.9
19519,"1459 S 12 ST",68108,"Remediated",2011-09-28,2003-09-05,602.56
87076,"5128 PINE ST",68106,NA,NA,NA,NA
58053,"1002 S 45 ST",68106,"Ineligible",NA,2008-10-20,204
42348,"7806 NORTH RIDGE DR",68112,"Ineligible",NA,2004-01-15,106.24
48061,"5119 S 40 ST",68107,"Ineligible",NA,2005-11-28,329.07
15651,"3943 GOLD ST",68105,"Ineligible",NA,2004-07-19,186.33
10879,"4409 S 27 ST",68107,"Ineligible",NA,2009-06-12,249
79018,"3126 S 52 ST",68106,NA,NA,NA,NA
11503,"4229 S 22 ST",68107,"Remediated",2010-08-27,2004-08-11,681.08
34910,"4724 FONTENELLE BD",68111,NA,NA,NA,NA
86189,"4818 J ST",68117,NA,NA,NA,NA
70041,"2328 N 60 AV",68104,NA,NA,NA,NA
26001,"3324 SEWARD ST",68111,NA,NA,NA,NA
11449,"4225 S 28 ST",68107,"Ineligible",NA,2004-08-31,386.32
2099,"5502 S 32 ST",68107,"Ineligible",NA,2011-04-06,327
13421,"4055 VINTON ST",68105,"Ineligible",NA,2004-08-19,143.15
22997,"114 S 44 ST",68131,"Ineligible",NA,2008-08-05,301
70503,"2028 N 50 ST",68104,NA,NA,NA,NA
78665,"6067 ELLISON AV",68104,NA,NA,NA,NA
12352,"4004 S 24 ST",68107,"Remediated",2011-10-07,2005-08-18,632.35
68071,"891 N 68 ST",68132,NA,NA,NA,NA
82873,"3812 N 50 ST",68104,NA,NA,NA,NA
26733,"3861 PARKER ST",68111,"Remediated",2010-08-26,2008-09-10,491
84223,"5013 N 55 ST",68104,NA,NA,NA,NA
21174,"3222 PACIFIC ST",68105,"Remediated",2004-08-23,2003-11-04,1610
72386,"5427 S 49 AV",68117,NA,NA,NA,NA
46376,"1321 Y ST",68107,"Remediated",2010-10-08,2003-12-12,443.46
47642,"3022 S ST",68107,"Remediated",2013-08-21,2004-10-20,713.62
51772,"4911 WEBSTER ST",68132,"Ineligible",NA,2004-11-22,304.05
20149,"1417 S 10 ST",68108,"Remediated",2010-06-21,2004-07-19,681.08
57815,"922 N 29 ST",68131,"Ineligible",NA,2008-09-03,244
40050,"6551 N 32 ST",68112,NA,NA,NA,NA
57579,"2509 S 46 AV",68106,NA,NA,NA,NA
42526,"7809 N 28 AV",68112,"Ineligible",NA,2004-01-08,263.77
